,blockNumber,timestamp_hours,id,inputTokenPriceUSD,outputTokenPriceUSD,snapshot_timestamp,reserve_name,protocol_name,protocol,datetime
69,18035147,470414,0xc7b4c17861357b8abb91f25581e7263e08dcb59c8e2d0700,2.014,,1693492007,Synthetix Network Token,Aave v3,Aave,2023-08-31 14:00:00+00:00
70,18035131,470414,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c8e2d0700,1781.97388421,,1693491815,Coinbase Wrapped Staked ETH,Aave v3,Aave,2023-08-31 14:00:00+00:00
71,18035073,470414,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de88e2d0700,27114.5608278,,1693491119,Wrapped BTC,Aave v3,Aave,2023-08-31 14:00:00+00:00
72,18035054,470414,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c8e2d0700,1.03236932,,1693490891,Savings Dai,Aave v3,Aave,2023-08-31 14:00:00+00:00
73,18034988,470413,0x0b925ed163218f6662a35e0f0371ac234f9e93718d2d0700,1935.5465388,,1693490099,Wrapped liquid staked Ether 2.0,Aave v3,Aave,2023-08-31 13:00:00+00:00
74,18034966,470413,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c8d2d0700,1.0,,1693489835,USD Coin,Aave v3,Aave,2023-08-31 13:00:00+00:00
75,18034961,470413,0x23878914efe38d27c4d67ab83ed1b93a74d4086a8d2d0700,0.99995,,1693489775,Tether USD,Aave v3,Aave,2023-08-31 13:00:00+00:00
76,18034957,470413,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de88d2d0700,27221.51831502,,1693489727,Wrapped BTC,Aave v3,Aave,2023-08-31 13:00:00+00:00
77,18034941,470413,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e88d2d0700,1709.88219015,,1693489535,Wrapped Ether,Aave v3,Aave,2023-08-31 13:00:00+00:00
78,18034779,470413,0xb76cf92076adbf1d9c39294fa8e7a67579fde3578d2d0700,23.61329742,,1693487579,Rocket Pool Protocol,Aave v3,Aave,2023-08-31 13:00:00+00:00
79,18034713,470412,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e88c2d0700,1709.88219015,,1693486787,Wrapped Ether,Aave v3,Aave,2023-08-31 12:00:00+00:00
80,18034712,470412,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de88c2d0700,27221.51831502,,1693486775,Wrapped BTC,Aave v3,Aave,2023-08-31 12:00:00+00:00
81,18034686,470412,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c8c2d0700,1.0,,1693486463,USD Coin,Aave v3,Aave,2023-08-31 12:00:00+00:00
