,regular_datetime,accruedToTreasury,availableLiquidity,averageStableBorrowRate,liquidityIndex,liquidityRate,priceInEth,priceInUsd,stableBorrowRate,timestamp,totalATokenSupply,totalCurrentVariableDebt,totalLiquidity,totalPrincipalStableDebt,totalScaledVariableDebt,utilizationRate,variableBorrowIndex,variableBorrowRate,reserve_decimals,reserve_name,reserve_pool,true_value
5671,2023-05-20 07:00:00+00:00,21.78699527272976,94483.87835700596,0.0,1.0060871298449183,0.0217779825264291,178244000000.0,178244000000.0,0.0998337789222875,1684569011.0,260033.8006715988,165565.50952599724,258894.5068222377,0.0,163622.26305521338,0.63504873,1.01191329352761,0.0402420899761731,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5672,2023-05-20 08:00:00+00:00,21.87204533462552,94514.39065066152,0.0,1.0060890057091108,0.0217735135386223,178244000000.0,178244000000.0,0.0998300490803286,1684571711.0,260064.29520192705,165571.32985111626,258924.51683223768,0.0,163621.76668582883,0.63497318,1.0119167799319226,0.0402385466263121,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5673,2023-05-20 09:00:00+00:00,22.01302990054929,94496.7377571461,0.0,1.0060921149915607,0.0217761813407848,178244000000.0,178244000000.0,0.0998322756878948,1684576187.0,260047.445482358,165571.32985111626,258906.86393872224,0.0,163621.76668582883,0.63501648,1.0119225592520835,0.0402406619035,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5674,2023-05-20 10:00:00+00:00,22.01302990054929,94496.27258858332,0.0,1.006093123732111,0.0217762752378699,178244000000.0,178244000000.0,0.0998323540540748,1684577639.0,260047.24087267803,165571.32985111626,258906.39877015943,0.0,163621.76668582883,0.63501762,1.0119244341291858,0.0402407363513711,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5675,2023-05-20 11:00:00+00:00,22.253811084021944,94496.31518858332,0.0,1.006097425503147,0.0217763784897288,178244000000.0,178244000000.0,0.0998324402275254,1684583831.0,260048.39462327797,165571.32985111626,258906.44137015947,0.0,163621.76668582883,0.63501751,1.0119324295316066,0.0402408182161492,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5676,2023-05-20 12:00:00+00:00,22.28783056937145,94497.05518858333,0.0,1.0060981758167886,0.0217762890629109,178244000000.0,178244000000.0,0.0998323655923918,1684584911.0,260049.32842986763,165571.32985111626,258907.18137015947,0.0,163621.76668582883,0.6350157,1.0119338240869824,0.0402407473127723,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5677,2023-05-20 13:00:00+00:00,22.47189536896176,94616.30538858332,0.0,1.0061022348932038,0.0217587320574768,178244000000.0,178244000000.0,0.0998177097017018,1684590791.0,260170.87723577156,165576.89225478005,259027.68157015948,0.0,163623.0019352023,0.63472511,1.011941369446882,0.0402268242166167,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5678,2023-05-20 14:00:00+00:00,22.59583167423145,94746.30538858332,0.0,1.0061046756484169,0.0217400552136514,178244000000.0,178244000000.0,0.0998021126531309,1684594691.0,260301.5079786426,165576.89225478005,259157.68157015948,0.0,163623.0019352023,0.63440672,1.0119459079945965,0.0402120070204743,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5679,2023-05-20 15:00:00+00:00,22.704995664751472,94744.11525239937,0.0,1.0061066398730742,0.021740425575602,178244000000.0,178244000000.0,0.0998024220065024,1684598159.0,260299.8256930504,165576.89225478005,259155.4914339755,0.0,163623.0019352023,0.63441208,1.011949562265428,0.0402123009061773,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5680,2023-05-20 16:00:00+00:00,22.785830895147267,94742.11525239937,0.0,1.006107372308544,0.0217407367546201,178244000000.0,178244000000.0,0.0998026819239669,1684600727.0,260298.0150628796,165576.89225478005,259153.4914339755,0.0,163623.0019352023,0.63441698,1.01195092488742,0.0402125478277686,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5681,2023-05-20 17:00:00+00:00,22.92972964739656,94950.27809327946,0.0,1.006112324266317,0.0217083592428363,178244000000.0,178244000000.0,0.0997756282891346,1684605299.0,260482.4582096186,165554.46919189062,259336.6542748556,0.0,163598.29733222016,0.63387251,1.0119601378657317,0.0401868468746779,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5682,2023-05-20 18:00:00+00:00,23.014698376667884,94768.91525239935,0.0,1.006114196539746,0.0217348990161824,178244000000.0,178244000000.0,0.0997978055519074,1684607999.0,260301.57943560052,165554.46919189062,259155.2914339755,0.0,163598.29733222016,0.6343161,1.0119636215297745,0.040207915274312,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5683,2023-05-20 19:00:00+00:00,23.12949982274253,94827.91525239935,0.0,1.006116726147166,0.0217263394165299,178244000000.0,178244000000.0,0.0997906543979689,1684611647.0,260361.23346039117,165554.46919189062,259214.2914339755,0.0,163598.29733222016,0.63417173,1.0119683283291712,0.0402011216780704,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5684,2023-05-20 20:00:00+00:00,23.26315605634736,95074.55554041213,0.0,1.0061196704092534,0.021719953877203,178244000000.0,178244000000.0,0.0997853186730123,1684616099.0,260406.2188727214,165354.81869202678,259258.5154034952,0.0,163398.27608243533,0.6332828,1.0119738081754843,0.0401960527393617,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5685,2023-05-20 21:00:00+00:00,23.31252098118708,95238.87114030744,0.0,1.0061207577143572,0.0216499138222442,178244000000.0,178244000000.0,0.0997267430308236,1684617467.0,260574.8157063013,165358.91218462127,259426.8310033905,0.0,163402.22875064274,0.63288735,1.011975834245786,0.0401404058792824,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5686,2023-05-20 22:00:00+00:00,23.460576870967063,95073.06654041212,0.0,1.0061240187644522,0.021674136627943,178244000000.0,178244000000.0,0.0997470114457665,1684622183.0,260409.854586638,165358.91218462127,259261.0264034952,0.0,163402.22875064274,0.6332921,1.011981911787811,0.0401596608734782,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5687,2023-05-20 23:00:00+00:00,23.589711388100373,96160.37161297156,0.0,1.0061268602494244,0.0215179597787761,178244000000.0,178244000000.0,0.0996161349601358,1684626299.0,261512.89534610123,165375.51173364467,260363.33147605465,0.0,163417.05111304088,0.63066853,1.0119872123847606,0.040035328212129,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5688,2023-05-21 00:00:00+00:00,23.693803177681456,95993.87923167758,0.0,1.006129144757703,0.0215420148468651,178244000000.0,178244000000.0,0.0996363233939712,1684629623.0,261346.99598318496,165375.51173364467,260196.83909476065,0.0,163417.05111304088,0.63107207,1.0119914848773184,0.0400545072242726,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5689,2023-05-21 01:00:00+00:00,23.81555747436852,96160.2672711557,0.0,1.0061318180315817,0.0215181016454851,178244000000.0,178244000000.0,0.0996162540554531,1684633511.0,261514.0776663885,165375.51173364467,260363.22684390415,0.0,163417.05111304088,0.63066878,1.0119964823423668,0.0400354413526804,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5690,2023-05-21 02:00:00+00:00,23.93394185340853,95935.1795643336,0.0,1.006134416181807,0.0215458846055339,178244000000.0,178244000000.0,0.0996395700927111,1684637351.0,261355.66440670128,165444.28755674983,260204.1391370821,0.0,163482.26846639815,0.63130801,1.012001341183602,0.0400575915880755,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5691,2023-05-21 03:00:00+00:00,24.06410619185341,95117.5081128316,0.0,1.006137285535411,0.0216746593996602,178244000000.0,178244000000.0,0.099747448752257,1684641431.0,260537.22511021417,165443.28959664915,259384.95828046408,0.0,163480.7769660676,0.63329597,1.0120066817846944,0.0401600763146441,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5692,2023-05-21 04:00:00+00:00,24.13571265479031,95152.8346393866,0.0,1.0061388618929636,0.0216682967622399,178244000000.0,178244000000.0,0.0997421259579944,1684643711.0,260557.93326067543,165428.8600643841,259405.25848046408,0.0,163465.92893756836,0.63318848,1.0120096199151305,0.0401550196600947,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5693,2023-05-21 05:00:00+00:00,24.293620868132987,95112.27270950514,0.0,1.0061423383997723,0.0216742925305778,178244000000.0,178244000000.0,0.0997471418612318,1684648739.0,260518.27095430912,165428.8600643841,259364.69655058265,0.0,163465.92893756836,0.63328751,1.0120160994680236,0.0401597847681702,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5694,2023-05-21 06:00:00+00:00,24.33130969471633,95280.90514011652,0.0,1.0061431682107465,0.0216497728664869,178244000000.0,178244000000.0,0.0997266250536951,1684649939.0,260687.1181034353,165428.8600643841,259533.328981194,0.0,163465.92893756836,0.63287603,1.0120176459818615,0.0401402938010103,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5695,2023-05-21 07:00:00+00:00,24.517491969592605,95059.8286716271,0.0,1.006147275740182,0.0216820598668674,178244000000.0,178244000000.0,0.0997536388013862,1684655879.0,260467.1044903352,165428.8600643841,259312.25251270455,0.0,163465.92893756836,0.63341559,1.0120253012258065,0.0401659568613169,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5696,2023-05-21 08:00:00+00:00,24.622660287176203,95060.8286716271,0.0,1.0061495834517649,0.0216819729885258,178244000000.0,178244000000.0,0.0997535661388433,1684659215.0,260468.7015041959,165428.8600643841,259313.25251270455,0.0,163465.92893756836,0.63341314,1.0120296012395644,0.0401658878319012,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
5697,2023-05-21 09:00:00+00:00,24.73914421693984,95032.32154835832,0.0,1.0061502724436109,0.0216861459981105,178244000000.0,178244000000.0,0.099757056162783,1684662923.0,260440.37262645125,165428.8600643841,259284.7453894358,0.0,163465.92893756836,0.63348278,1.0120308850579571,0.0401692033546438,18.0,Wrapped Ether,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
